name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2009-06-01,23.9,14.1,19,23.9,14.1,19,12.6,68.4,0,0,0,,0,0,45.8,32.8,24.8,,18.3,30.6,,,,,2009-06-01T05:24:21,2009-06-01T21:52:44,0.28,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-02,19.6,12.1,15.7,19.6,12.1,15.7,9.9,70.2,0,0,0,,0,0,39.5,26.6,357.1,,28,22.2,,,,,2009-06-02T05:23:32,2009-06-02T21:53:50,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-03,14.8,10.4,12.5,14.8,10.4,12.5,6.5,67.7,0,0,0,,0,0,42.4,26.6,337,,66.3,26.8,,,,,2009-06-03T05:22:47,2009-06-03T21:54:53,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-04,13.2,8.5,10.6,13.2,7.4,10.1,5,68.5,0.561,100,12.5,rain,0,0,45.6,27.5,316.8,1014.4,93.8,33.8,,,,,2009-06-04T05:22:04,2009-06-04T21:55:54,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-05,13.5,7.3,10.4,13.5,6.1,9.9,5.3,71.5,0.856,100,12.5,rain,0,0,32.4,16.3,340.8,1012.9,70.4,40.6,,,,,2009-06-05T05:21:25,2009-06-05T21:56:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-06,16.3,6.2,11.9,16.3,3.8,11.2,5.2,65.5,0.013,100,4.17,rain,0,0,42.3,25.3,59,1008.1,46.5,36,,,,,2009-06-06T05:20:48,2009-06-06T21:57:49,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-07,15.1,8.9,12,15.1,8.9,12,8.2,78.2,6.129,100,4.17,rain,0,0,33.9,17.7,99.3,,95.8,25.3,,,,,2009-06-07T05:20:15,2009-06-07T21:58:43,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-08,17.5,8.1,13.3,17.5,6,13,9,76.8,0.317,100,4.17,rain,0,0,31.4,17.6,216.2,,51.1,22.5,,,,,2009-06-08T05:19:44,2009-06-08T21:59:34,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-09,18.1,12.2,14.9,18.1,12.2,14.9,11,78.1,5.078,100,12.5,rain,0,0,55.8,34.3,208.4,,90.5,25.9,,,,,2009-06-09T05:19:17,2009-06-09T22:00:23,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-10,17.3,12.1,14.1,17.3,12.1,14.1,10.6,80.2,3.792,100,12.5,rain,0,0,38.1,24.5,258.5,,95.4,23.8,,,,,2009-06-10T05:18:53,2009-06-10T22:01:09,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-11,15.3,11.1,13.2,15.3,11.1,13.2,10.3,83.6,13.79,100,12.5,rain,0,0,40.9,27,315.2,1005.1,89.6,25.2,,,,,2009-06-11T05:18:33,2009-06-11T22:01:52,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-12,16.6,9.2,13.1,16.6,7.7,12.8,7.9,71.8,0.022,100,4.17,rain,0,0,41.7,24.5,292.6,1020,19.8,35.9,,,,,2009-06-12T05:18:15,2009-06-12T22:02:32,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-13,21.1,5.7,14.3,21.1,5.7,14.3,8.4,70.9,0,0,0,,0,0,32.4,13.1,199.6,1021.5,33.8,28.8,,,,,2009-06-13T05:18:00,2009-06-13T22:03:09,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-14,19.9,13.2,16.9,19.9,13.2,16.9,12.8,76.9,0.894,100,8.33,rain,0,0,31.5,20.1,237.3,,69.7,26.6,,,,,2009-06-14T05:17:49,2009-06-14T22:03:43,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-15,18.9,12.5,15.8,18.9,12.5,15.8,11.1,75.5,0,0,0,,0,0,21.9,10.5,20.1,,70.7,18.2,,,,,2009-06-15T05:17:41,2009-06-15T22:04:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-16,17.9,11,14.5,17.9,11,14.5,11,80,6.913,100,12.5,rain,0,0,39.5,17.7,35.2,,78.5,21.7,,,,,2009-06-16T05:17:36,2009-06-16T22:04:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-17,22.5,9.3,16.5,22.5,8.5,16.4,10.3,69,0,0,0,,0,0,37.7,20.6,171.2,,35.9,31.7,,,,,2009-06-17T05:17:35,2009-06-17T22:05:09,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-18,18.9,14.5,16.8,18.9,14.5,16.8,10.6,67.6,0.233,100,8.33,rain,0,0,52.6,29,259.8,1014.9,79.4,35,,,,,2009-06-18T05:17:36,2009-06-18T22:05:31,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-19,16.7,13.5,15.3,16.7,13.5,15.3,9.6,69.2,0.561,100,4.17,rain,0,0,52.4,34.3,266.2,,70.7,28.2,,,,,2009-06-19T05:17:41,2009-06-19T22:05:50,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-20,16.6,13.1,14.6,16.6,13.1,14.6,9.2,70.1,0.326,100,12.5,rain,0,0,42.6,27,287.3,,83.2,31.9,,,,,2009-06-20T05:17:49,2009-06-20T22:06:06,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-21,17.1,10.9,13.8,17.1,10.9,13.8,8.6,71.6,0.152,100,8.33,rain,0,0,41.7,23.4,340.8,,73.6,38.3,,,,,2009-06-21T05:18:00,2009-06-21T22:06:19,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-22,17.8,8.4,13.8,17.8,7.5,13.6,8.2,70.6,0.062,100,8.33,rain,0,0,30.8,20.1,359.1,,40.7,37.4,,,,,2009-06-22T05:18:15,2009-06-22T22:06:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-23,21.1,8.9,15.9,21.1,8,15.8,9.6,68.9,0,0,0,,0,0,39.8,25.2,31.3,1027.1,7.8,32.9,,,,,2009-06-23T05:18:32,2009-06-23T22:06:34,0.02,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-24,22.3,12.6,17.4,22.3,12.6,17.4,12.3,72.6,0.041,100,4.17,rain,0,0,46.3,31.1,37.7,,7.3,25.3,,,,,2009-06-24T05:18:53,2009-06-24T22:06:37,0.05,Rain,Clear conditions throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-25,25.4,14.8,20,25.4,14.8,20,13.3,65.9,0,0,0,,0,0,41.6,24.4,57.8,1018,9.3,35.5,,,,,2009-06-25T05:19:16,2009-06-25T22:06:37,0.09,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-26,24.2,14.9,19.9,24.2,14.9,19.9,15.6,76.8,0.503,100,4.17,rain,0,0,37.3,21.9,66.4,,50.4,21.8,,,,,2009-06-26T05:19:43,2009-06-26T22:06:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-27,24.1,17.3,19.8,24.1,17.3,19.8,17.3,85.8,7.958,100,8.33,rain,0,0,34.2,13.3,69.2,1014.6,82.6,7.7,,,,,2009-06-27T05:20:12,2009-06-27T22:06:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-28,22.9,16.1,19.1,22.9,16.1,19.1,17.2,89.3,0.14,100,8.33,rain,0,0,23.4,14.5,326.8,1015.4,90.2,5,,,,,2009-06-28T05:20:45,2009-06-28T22:06:17,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-29,24.6,15.9,19.5,24.6,15.9,19.5,16.5,83.9,0,0,0,,0,0,30.4,20.1,314.3,1018,56.7,8.3,,,,,2009-06-29T05:21:20,2009-06-29T22:06:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-06-30,24,14.4,19.3,24,14.4,19.3,15.8,81.2,0,0,0,,0,0,30.6,16.3,9.1,,24.1,11.6,,,,,2009-06-30T05:21:58,2009-06-30T22:05:47,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-01,25.2,16,20.4,25.2,16,20.4,15.9,76.8,0,0,0,,0,0,36.3,17.9,31.5,,38.4,19.8,,,,,2009-07-01T05:22:39,2009-07-01T22:05:28,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-02,28.3,17.3,22.9,28.9,17.3,23.1,16.9,70,0,0,0,,0,0,36.3,19.8,51.3,,4.4,29.4,,,,,2009-07-02T05:23:23,2009-07-02T22:05:05,0.33,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-03,27.9,18.2,21.5,29.6,18.2,21.7,16.6,74,4.741,100,8.33,rain,0,0,43.7,26.6,229.5,,36.7,24.5,,,,,2009-07-03T05:24:09,2009-07-03T22:04:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-04,23.4,15.9,20,23.4,15.9,20,14.1,70.6,0,0,0,,0,0,37,17.2,290.1,,17.8,30.1,,,,,2009-07-04T05:24:58,2009-07-04T22:04:09,0.4,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-05,25.6,14.6,20.1,25.6,14.6,20.1,14.5,72,1.977,100,4.17,rain,0,0,34.8,17.8,217.9,,49.2,25.9,,,,,2009-07-05T05:25:49,2009-07-05T22:03:37,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-06,21.6,15.2,18.5,21.6,15.2,18.5,12.7,69.9,0.355,100,8.33,rain,0,0,50.4,29.1,238.6,,51,32.2,,,,,2009-07-06T05:26:43,2009-07-06T22:03:01,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-07,19.7,14,16.7,19.7,14,16.7,12.9,78.7,13.911,100,16.67,rain,0,0,52,27.8,218.8,1004.1,84.3,26.7,,,,,2009-07-07T05:27:39,2009-07-07T22:02:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-08,17.8,14.4,15.8,17.8,14.4,15.8,12.6,81.3,6.285,100,16.67,rain,0,0,59.4,37.8,282.1,,87.4,20.3,,,,,2009-07-08T05:28:38,2009-07-08T22:01:41,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2009-07-09,17.7,13.4,15.5,17.7,13.4,15.5,9.6,68.1,0.588,100,8.33,rain,0,0,43.2,27.9,282.3,1012.2,80.3,33,,,,,2009-07-09T05:29:39,2009-07-09T22:00:56,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
