name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2008-06-01,20,12.5,15.6,20,12.5,15.6,14,90.3,16.44,100,8.33,rain,0,0,24.5,15.6,299.6,,81,5.2,,,,,2008-06-01T05:24:09,2008-06-01T21:53:01,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-02,26.2,14.6,20.6,26.2,14.6,20.6,16.2,77.7,0.038,100,4.17,rain,0,0,36.3,20.6,30.4,,75.3,12.5,,,,,2008-06-02T05:23:21,2008-06-02T21:54:06,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-03,20.6,14.5,18.1,20.6,14.5,18.1,16.4,90,8.648,100,16.67,rain,0,0,41.1,22.6,244.6,,83.1,6.2,,,,,2008-06-03T05:22:36,2008-06-03T21:55:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-04,19.2,12.7,15.7,19.2,12.7,15.7,13.7,88.5,0,0,0,,0,0,24.7,15.3,307.4,1015.9,74,11.5,,,,,2008-06-04T05:21:55,2008-06-04T21:56:10,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-05,16.9,13.8,14.9,16.9,13.8,14.9,13.4,90.8,0,0,0,,0,0,26.7,17.1,327.7,1015.9,98.4,7.4,,,,,2008-06-05T05:21:16,2008-06-05T21:57:08,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-06,23.9,12.3,18.5,23.9,12.3,18.5,12.4,71.6,0.36,100,4.17,rain,0,0,31.8,19.9,35.2,,61.9,21.6,,,,,2008-06-06T05:20:40,2008-06-06T21:58:03,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-07,21.8,14.6,17.9,21.8,14.6,17.9,14.4,80.9,0.286,100,4.17,rain,0,0,29.7,15.2,167,1014.9,68.7,9.8,,,,,2008-06-07T05:20:07,2008-06-07T21:58:57,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-08,23.8,13.5,18.2,23.8,13.5,18.2,14.9,82.6,0,0,0,,0,0,27.6,17.4,298.6,1018.5,46.3,13.6,,,,,2008-06-08T05:19:38,2008-06-08T21:59:47,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-09,24.8,13.6,20,24.8,13.6,20,12.9,67,0,0,0,,0,0,30.1,14.2,17,1022,13.7,29.5,,,,,2008-06-09T05:19:12,2008-06-09T22:00:35,0.19,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-10,20.1,12.4,16.6,20.1,12.4,16.6,11.9,74.1,0,0,0,,0,0,39.7,27,307.8,,20.1,29.8,,,,,2008-06-10T05:18:48,2008-06-10T22:01:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-11,16.5,11.1,14.3,16.5,11.1,14.3,9.6,74.1,0,0,0,,0,0,42.1,27.7,296.8,1020,53,28.4,,,,,2008-06-11T05:18:28,2008-06-11T22:02:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-12,14.8,10.7,12.8,14.8,10.7,12.8,8.5,75.7,0.823,100,8.33,rain,0,0,38.8,26.5,327.8,1012.9,79.5,33.1,,,,,2008-06-12T05:18:11,2008-06-12T22:02:42,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-13,14.6,10.5,12.3,14.6,10.5,12.3,7.9,75.3,1.803,100,16.67,rain,0,0,45.2,27.4,297.9,1014.4,93,34.5,,,,,2008-06-13T05:17:58,2008-06-13T22:03:19,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-14,16.2,10.6,13.1,16.2,10.6,13.1,8.2,73.1,0.482,100,16.67,rain,0,0,34.3,19.9,276.2,,75,31.5,,,,,2008-06-14T05:17:47,2008-06-14T22:03:52,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-15,16,10,13.1,16,10,13.1,7.9,71.9,1.038,100,12.5,rain,0,0,40.8,22,273.9,,64.4,35.3,,,,,2008-06-15T05:17:40,2008-06-15T22:04:23,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-16,16.2,7.7,12.4,16.2,5.9,12.1,6.9,70.3,0.088,100,4.17,rain,0,0,34.5,20.3,313,,38.2,38.2,,,,,2008-06-16T05:17:36,2008-06-16T22:04:51,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-17,19.3,5.8,13.6,19.3,5.8,13.6,6.7,66.6,0,0,0,,0,0,41.2,14.4,232.7,,17.2,36.9,,,,,2008-06-17T05:17:35,2008-06-17T22:05:15,0.46,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-18,18.7,11.1,15.6,18.7,11.1,15.6,9.8,69.4,0,0,0,,0,0,47.4,30.4,228,,57.1,30.9,,,,,2008-06-18T05:17:38,2008-06-18T22:05:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-19,19.2,14.4,16.1,19.2,14.4,16.1,11.4,74.1,2.218,100,8.33,rain,0,0,59.4,36.2,217.7,,69.8,28.6,,,,,2008-06-19T05:17:43,2008-06-19T22:05:55,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-20,18.5,12.5,15.9,18.5,12.5,15.9,10.7,72.5,0,0,0,,0,0,45.8,33.3,236.9,,64.4,25.6,,,,,2008-06-20T05:17:52,2008-06-20T22:06:10,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-21,21.3,13.4,17.5,21.3,13.4,17.5,12.6,73.8,0,0,0,,0,0,34.8,15.8,201.1,,95.9,26.3,,,,,2008-06-21T05:18:04,2008-06-21T22:06:22,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-22,23.4,15.7,20,23.4,15.7,20,14,69.2,0,0,0,,0,0,72.6,47.4,222.3,1010.2,71.7,26.5,,,,,2008-06-22T05:18:19,2008-06-22T22:06:31,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-23,16.3,10.8,15,16.3,10.8,15,9.6,70.2,0,0,0,,0,0,61.9,39.3,267.4,1021,56,27.9,,,,,2008-06-23T05:18:37,2008-06-23T22:06:36,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2008-06-24,20.5,7.6,14.9,20.5,6.6,14.8,8.3,68,0,0,0,,0,0,34,20.1,66.4,,26.4,29.4,,,,,2008-06-24T05:18:58,2008-06-24T22:06:39,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
