name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2017-06-01,21.6,8.2,15.9,21.6,7.2,15.8,8.4,64,0,0,0,,0,0,21.6,10.7,69.8,1021.9,31.4,27.3,344.6,29.8,9,,2017-06-01T05:24:21,2017-06-01T21:52:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-02,24.6,12.2,19.5,24.6,12.2,19.5,11,60.3,0,0,0,,0,0,26.5,17.8,20,1016.7,47.8,27.9,327.1,28.2,9,,2017-06-02T05:23:32,2017-06-02T21:53:53,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-03,21,14.2,18.2,21,14.2,18.2,14.2,77.8,1.417,100,12.5,rain,0,0,35.6,24.4,294.8,1012.6,63.5,17.3,230.1,20,8,,2017-06-03T05:22:47,2017-06-03T21:54:56,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-04,19,13.5,15.8,19,13.5,15.8,10.5,72.1,0,0,0,,0,0,42,30,262.4,1014.6,42.9,17.8,328,28.3,8,,2017-06-04T05:22:05,2017-06-04T21:55:57,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-05,20.6,11.4,16.2,20.6,11.4,16.2,9.9,67.2,0,0,0,,0,0,43.2,28.3,211.2,1011.5,54.8,23.7,281.2,24.3,8,,2017-06-05T05:21:25,2017-06-05T21:56:56,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-06,17.9,12.3,15,17.9,12.3,15,9.9,72.3,6.128,100,70.83,rain,0,0,78.1,51.9,194.7,997.7,60.2,18.6,188.6,16.3,8,,2017-06-06T05:20:49,2017-06-06T21:57:52,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-07,16.9,12.7,14.2,16.9,12.7,14.2,9.2,72.2,3.323,100,58.33,rain,0,0,67,44.3,241.5,1006.5,59.4,12.6,236.6,20.3,7,,2017-06-07T05:20:16,2017-06-07T21:58:45,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-08,21.4,12.2,16.2,21.4,12.2,16.2,11.8,76.5,1.778,100,37.5,rain,0,0,49.1,29.7,216.9,1012.6,64.5,16.1,208.3,17.9,6,,2017-06-08T05:19:46,2017-06-08T21:59:36,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-09,18,14.8,16.3,18,14.8,16.3,13,81.4,15.345,100,45.83,rain,0,0,42.4,30.6,235.8,1010.4,45.8,13.8,256.4,22.1,8,,2017-06-09T05:19:19,2017-06-09T22:00:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2017-06-10,23.8,12.3,17.6,23.8,12.3,17.6,12.6,74.3,0,0,0,,0,0,33.9,22.7,213.2,1017.6,27.1,16.5,284.5,24.6,7,,2017-06-10T05:18:55,2017-06-10T22:01:10,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
