name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2016-06-01,22.9,14.4,18.4,22.9,14.4,18.4,15.9,86.2,0.17,100,8.33,rain,0,0,45.9,31.3,358.2,1014.2,74.6,9.9,,,,,2016-06-01T05:24:09,2016-06-01T21:53:04,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-02,16.7,12.5,14.3,16.7,12.5,14.3,12.8,91,0.967,100,29.17,rain,0,0,52.1,33.2,3.4,1013.4,99.9,8.6,,,,,2016-06-02T05:23:21,2016-06-02T21:54:09,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-03,18.5,12.6,15.1,18.5,12.6,15.1,13.9,92.9,0.207,100,12.5,rain,0,0,38.6,17.1,329.3,1013.4,91.4,4.9,,,,,2016-06-03T05:22:37,2016-06-03T21:55:11,0.94,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-04,25.9,12.8,19.5,25.9,12.8,19.5,15.4,79.3,0.368,100,25,rain,0,0,31.9,19.9,8.7,1013.8,49.7,14.7,,,,,2016-06-04T05:21:55,2016-06-04T21:56:12,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-05,23.1,13.5,19.2,23.1,13.5,19.2,14.1,73.1,0,0,0,,0,0,29.7,21.1,15.4,1018.3,16,22.5,,,,,2016-06-05T05:21:17,2016-06-05T21:57:10,0,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-06,22.7,11.9,17.2,22.7,11.9,17.2,12.2,74.2,0,0,0,,0,0,30.9,17.7,17.9,1021.5,28.2,18.3,,,,,2016-06-06T05:20:41,2016-06-06T21:58:05,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-07,24.1,14.3,19,24.1,14.3,19,13.4,72.3,0,0,0,,0,0,32.3,21.3,26.9,1022.1,64.6,21.6,,,,,2016-06-07T05:20:09,2016-06-07T21:58:58,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-08,19.3,12.8,15.7,19.3,12.8,15.7,11.8,78.5,0,0,0,,0,0,37.6,25.9,353.7,1022.2,47.6,23.3,,,,,2016-06-08T05:19:39,2016-06-08T21:59:49,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-09,17.8,11.5,14.5,17.8,11.5,14.5,9.3,72.1,0,0,0,,0,0,29,18.2,340.5,1020.7,29.4,18.2,,,,,2016-06-09T05:19:13,2016-06-09T22:00:36,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-10,19.4,10.7,15.1,19.4,10.7,15.1,10,72.8,0,0,0,,0,0,24.9,13.8,355.8,1014.9,77.7,22.9,,,,,2016-06-10T05:18:50,2016-06-10T22:01:21,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-11,19.7,12.4,15.8,19.7,12.4,15.8,11.8,77.6,1.022,100,45.83,rain,0,0,20.9,13.3,61.8,1011.5,93.2,20.9,,,,,2016-06-11T05:18:30,2016-06-11T22:02:03,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-12,20.3,14,16.9,20.3,14,16.9,12.8,77.1,1.998,100,29.17,rain,0,0,31.1,20,266.9,1008.3,69.6,21.3,,,,,2016-06-12T05:18:14,2016-06-12T22:02:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-13,17.3,14.1,15.4,17.3,14.1,15.4,13.8,90.6,6.198,100,58.33,rain,0,0,35.1,21.2,243.3,1001.2,96.5,14.2,,,,,2016-06-13T05:18:00,2016-06-13T22:03:19,0.27,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-14,17.7,13.6,15.5,17.7,13.6,15.5,13.2,86.3,8.911,100,54.17,rain,0,0,38.7,22.9,230.3,998.1,91.3,14.1,,,,,2016-06-14T05:17:50,2016-06-14T22:03:53,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-15,16.6,11.6,14.4,16.6,11.6,14.4,12,86,3.408,100,37.5,rain,0,0,26.8,13.6,203.8,998.5,76.3,18,,,,,2016-06-15T05:17:43,2016-06-15T22:04:23,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-16,19.2,11.1,15.8,19.2,11.1,15.8,11.2,76.4,0.933,100,25,rain,0,0,30.1,13.3,263.3,1002.1,70.3,22.4,,,,,2016-06-16T05:17:39,2016-06-16T22:04:51,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-17,18.4,13.3,15.4,18.4,13.3,15.4,12.4,82.8,9.804,100,66.67,rain,0,0,28.5,17.7,302.1,1005.9,73.8,20.3,,,,,2016-06-17T05:17:39,2016-06-17T22:05:15,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-18,16,11.3,13.9,16,11.3,13.9,11.2,84,0.588,100,33.33,rain,0,0,45.3,27.3,283.5,1015,83.5,25.2,,,,,2016-06-18T05:17:41,2016-06-18T22:05:36,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-19,18.5,12.2,15.2,18.5,12.2,15.2,9.5,69.5,0.004,100,4.17,rain,0,0,32.7,20,282.9,1023.1,84.4,24.7,,,,,2016-06-19T05:17:47,2016-06-19T22:05:54,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-20,16.3,14.5,15.5,16.3,14.5,15.5,14.1,91.3,18.954,100,66.67,rain,0,0,50.3,31.9,200.5,1015.9,97.3,11.4,,,,,2016-06-20T05:17:56,2016-06-20T22:06:09,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-21,20.4,14.3,16.7,20.4,14.3,16.7,15.1,90,1.393,100,33.33,rain,0,0,37.5,16.7,221.7,1017.2,92.8,11,,,,,2016-06-21T05:18:08,2016-06-21T22:06:21,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-22,24.3,13.3,19,24.3,13.3,19,15.2,79.8,0,0,0,,0,0,31.6,16.9,186.6,1020.9,53,24.8,,,,,2016-06-22T05:18:23,2016-06-22T22:06:30,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-23,26.3,18.3,21.1,26.3,18.3,21.1,19,88.5,11.998,100,75,rain,0,0,47.4,19.5,86.1,1017.6,84.7,24.6,,,,,2016-06-23T05:18:42,2016-06-23T22:06:35,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-24,20.6,14.6,19.1,20.6,14.6,19.1,16.7,86.7,0.121,100,8.33,rain,0,0,31.6,17.8,254.7,1017.1,64.1,14.1,,,,,2016-06-24T05:19:03,2016-06-24T22:06:37,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-25,18.3,11.7,15.4,18.3,11.7,15.4,12.9,85.3,0.25,100,25,rain,0,0,27.1,19,259.5,1016.2,47.5,21.6,,,,,2016-06-25T05:19:27,2016-06-25T22:06:36,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-26,17.8,12.3,15.2,17.8,12.3,15.2,11.7,80,1.51,100,29.17,rain,0,0,36.6,22.9,247.8,1015.9,51.3,27.7,,,,,2016-06-26T05:19:55,2016-06-26T22:06:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-27,17.8,12.9,15.6,17.8,12.9,15.6,12.9,83.9,3.325,100,25,rain,0,0,39,21.4,239.3,1016.6,75.8,22.1,,,,,2016-06-27T05:20:25,2016-06-27T22:06:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-28,20.2,10.6,16,20.2,10.6,16,12.3,79.6,2.927,100,16.67,rain,0,0,30.4,17.1,192.2,1015.8,78.8,24.4,,,,,2016-06-28T05:20:59,2016-06-28T22:06:13,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-29,20.1,13.3,15.8,20.1,13.3,15.8,12.4,81.3,3.603,100,50,rain,0,0,50.1,31.7,227.3,1009.8,87.8,22.2,,,,,2016-06-29T05:21:35,2016-06-29T22:05:58,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-06-30,17.9,14.6,15.9,17.9,14.6,15.9,14.1,89.4,9.995,100,79.17,rain,0,0,41.3,20.6,218.6,1010,100,19.6,,,,,2016-06-30T05:22:14,2016-06-30T22:05:41,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-07-01,17.4,15.4,16.5,17.4,15.4,16.5,14.5,88.5,6.726,100,66.67,rain,0,0,48.8,30.3,215.1,1010.1,97.5,19.4,,,,,2016-07-01T05:22:55,2016-07-01T22:05:20,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-07-02,17.4,13.7,15.6,17.4,13.7,15.6,10.3,71.6,0.261,100,37.5,rain,0,0,52.7,34,243.9,1012,66,25.5,,,,,2016-07-02T05:23:40,2016-07-02T22:04:56,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-07-03,18.5,11.5,15.3,18.5,11.5,15.3,11,76.5,7.984,100,41.67,rain,0,0,47.6,22.5,247.9,1018.2,50.8,25.3,,,,,2016-07-03T05:24:27,2016-07-03T22:04:29,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2016-07-04,21.3,10.7,17,21.3,10.7,17,12.1,73.9,0,0,0,,0,0,24.4,13.6,223,1019.3,36.7,29.6,,,,,2016-07-04T05:25:17,2016-07-04T22:03:59,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
