name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2021-06-01,24.5,11.1,18.5,24.5,11.1,18.5,8,54,0,0,0,,0,0,35.7,21.1,82,1017.4,0,41.3,310.7,26.9,8,,2021-06-01T05:24:20,2021-06-01T21:52:53,0.7,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-02,26.1,13.1,20.3,26.1,13.1,20.3,11.8,60.5,0,0,0,,0,0,26.4,16.4,65.1,1014.7,20,35.9,297.6,25.7,8,,2021-06-02T05:23:32,2021-06-02T21:53:58,0.75,Clear,Clearing in the afternoon.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-03,22.7,16.1,19.6,22.7,16.1,19.6,15.1,75.5,0,0,0,,0,0,34.7,23.8,247.7,1017.7,89.8,29.4,252.9,21.7,8,,2021-06-03T05:22:47,2021-06-03T21:55:01,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-04,23.9,13.9,19,23.9,13.9,19,14,73.7,0.036,100,8.33,rain,0,0,25.2,17.5,3.3,1020.5,94.5,21.1,270.2,23.3,8,,2021-06-04T05:22:05,2021-06-04T21:56:02,0.8,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-05,16.2,13.2,14.7,16.2,13.2,14.7,13.6,93.2,11.343,100,41.67,rain,0,0,27.6,19.8,313.6,1021.2,100,6.8,62.2,5.3,2,,2021-06-05T05:21:26,2021-06-05T21:57:01,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-06,20,12.6,16.1,20,12.6,16.1,10.2,70.4,0,0,0,,0,0,32.7,17.8,340.6,1024.2,38.2,31.6,304,26.5,8,,2021-06-06T05:20:49,2021-06-06T21:57:57,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-07,21.3,9.1,16.3,21.3,8.6,16.2,10,68.5,0,0,0,,0,0,29.9,17.5,15.3,1024.4,2.9,38.6,303.5,26,8,,2021-06-07T05:20:16,2021-06-07T21:58:50,0.9,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-08,23.5,11.5,18.4,23.5,11.5,18.4,11.5,67,0,0,0,,0,0,23.7,15.9,15.3,1023.3,27.1,32.2,312,26.8,8,,2021-06-08T05:19:46,2021-06-08T21:59:41,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-09,22.4,12.6,18.3,22.4,12.6,18.3,12.3,70.8,0,0,0,,0,0,29.6,20.5,273.8,1021.8,33.7,29.8,294.8,25.3,8,,2021-06-09T05:19:20,2021-06-09T22:00:30,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2021-06-10,24,12,18.1,24,12,18.1,13.2,74.8,0,0,0,,0,0,27.6,17.3,263.5,1020.7,13.8,30.6,254.7,22.1,8,,2021-06-10T05:18:56,2021-06-10T22:01:15,0,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
