name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2012-06-01,14.8,8.9,12.7,14.8,7.9,12.7,8.7,77.4,0.113,100,4.17,rain,0,0,27.2,18.2,315.6,1018.2,88,28.7,218.7,18.8,6,,2012-06-01T05:24:09,2012-06-01T21:53:02,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-02,14.9,6.5,11.5,14.9,5.3,11.4,5.6,69,0.193,100,4.17,rain,0,0,27.6,16.4,358.6,1017.4,41.3,28.9,347.2,30.1,9,,2012-06-02T05:23:22,2012-06-02T21:54:07,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-03,11.1,8.6,9.6,11.1,6.1,8.3,7.2,85.2,5.872,100,8.33,rain,0,0,31.6,18.1,71.5,1010.2,99.9,20.9,80.8,6.9,3,,2012-06-03T05:22:37,2012-06-03T21:55:10,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-04,11.8,8.3,9.3,11.8,5.7,8.2,7.1,86.8,9.458,100,8.33,rain,0,0,32.3,22.4,359.5,1011.9,96.8,18,140.2,12.2,5,,2012-06-04T05:21:55,2012-06-04T21:56:11,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-05,15.4,5.8,11.1,15.4,3.8,10.5,5.2,68.7,0.023,100,4.17,rain,0,0,25.5,14.4,230.6,1017,67.5,28.4,287.7,24.8,8,,2012-06-05T05:21:17,2012-06-05T21:57:09,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-06,17.3,9.9,13.5,17.3,8,13.4,10,80.4,3.99,100,8.33,rain,0,0,43.2,30.1,193.6,1005.7,83.5,16.8,217.1,18.9,9,,2012-06-06T05:20:41,2012-06-06T21:58:04,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-07,19.6,13.2,16.1,19.6,13.2,16.1,13.2,83.3,3.904,100,8.33,rain,0,0,32.3,22.2,177.6,1002.4,91.9,16.8,236.8,20.4,8,,2012-06-07T05:20:09,2012-06-07T21:58:57,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-08,18.2,12.5,15.4,18.2,12.5,15.4,10,71.6,3.124,100,12.5,rain,0,0,75,48.3,210.9,1002.7,56.4,23.1,334.9,28.9,9,,2012-06-08T05:19:39,2012-06-08T21:59:48,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-09,14.9,11.6,13.1,14.9,11.6,13.1,8.7,75.2,0.493,100,4.17,rain,0,0,59.2,40.9,222.3,1008.7,97.3,17.4,233,20,6,,2012-06-09T05:19:13,2012-06-09T22:00:36,0.66,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-10,17.8,10.3,14.5,17.8,10.3,14.5,9.9,75.3,0.04,100,4.17,rain,0,0,27.2,17.6,241.1,1009.8,63.9,22.9,309.3,26.9,8,,2012-06-10T05:18:50,2012-06-10T22:01:21,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-11,19.6,13.3,15.3,19.6,13.3,15.3,11.4,78.9,5.624,100,12.5,rain,0,0,29.1,19.5,72.2,1003.3,93,18.9,177.2,15.2,5,,2012-06-11T05:18:30,2012-06-11T22:02:03,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-12,15.9,11.3,13.4,15.9,11.3,13.4,10.5,83,3,100,4.17,rain,0,0,31.4,21.7,16.2,1005.3,99.1,19,173.8,14.8,5,,2012-06-12T05:18:13,2012-06-12T22:02:42,0.76,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-13,15.2,8.8,11.8,15.2,7.7,11.7,6.9,72.3,0,0,0,,0,0,28.2,20.5,313.2,1014.9,73.3,28.5,339.7,29.4,9,,2012-06-13T05:18:00,2012-06-13T22:03:19,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-14,16.5,6.3,12.3,16.5,6.3,12.3,6.4,69.2,0,0,0,,0,0,20.3,16.3,29.6,1019.3,43.3,27.6,354.9,30.7,9,,2012-06-14T05:17:49,2012-06-14T22:03:52,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-15,17.4,11.8,14.5,17.4,11.8,14.5,11.6,82.7,9.184,100,12.5,rain,0,0,33.9,26.1,162.3,1012.7,97.1,17.4,138.2,11.9,4,,2012-06-15T05:17:42,2012-06-15T22:04:23,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2012-06-16,19.2,14,16.2,19.2,14,16.2,11.5,75.4,4.069,100,12.5,rain,0,0,49.9,35.8,224.9,1011.7,67.2,21.9,310,26.8,9,,2012-06-16T05:17:38,2012-06-16T22:04:51,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
