name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2019-06-01,23,11.7,17.8,23,11.7,17.8,12.8,73.8,0,0,0,,0,0,26.9,13.8,236.2,1021.1,96,31.4,274.3,23.8,7,,2019-06-01T05:24:46,2019-06-01T21:52:16,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,E6566,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-02,29.9,16.1,22.5,29.2,16.1,22.5,13.6,59.8,0.421,100,4.17,rain,0,0,48.9,30.7,186,1012.9,90.1,31.5,249.7,21.8,8,,2019-06-02T05:23:56,2019-06-02T21:53:23,0.97,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-03,18.7,14.2,17,18.7,14.2,17,10.9,67.9,0.352,100,4.17,rain,0,0,38.7,23.1,251.7,1012.7,85.9,34.6,146.5,12.7,6,,2019-06-03T05:23:09,2019-06-03T21:54:27,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-04,22.9,10.4,17.4,22.9,10.4,17.4,10.8,67.1,9.457,100,12.5,rain,0,0,59.1,21.4,122,1009.2,80.7,29.6,196.3,17,8,,2019-06-04T05:22:26,2019-06-04T21:55:29,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-05,18.2,14.4,16.1,18.2,14.4,16.1,13.8,86.9,4.46,100,37.5,rain,0,0,57.3,26.2,227.9,1006.7,98.1,17,54.3,4.8,2,,2019-06-05T05:21:45,2019-06-05T21:56:29,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-06,17.5,10.9,14.3,17.5,10.9,14.3,9.6,75.6,29.772,100,37.5,rain,0,0,63.1,34.2,262.2,1010.1,80.3,28.3,216.1,18.7,9,,2019-06-06T05:21:07,2019-06-06T21:57:26,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-07,21.9,9.7,15,21.9,8.3,14.9,10.1,74.3,2.195,100,16.67,rain,0,0,56.7,32.7,125.3,1009.4,72.2,35.4,148.4,12.6,7,,2019-06-07T05:20:32,2019-06-07T21:58:21,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-08,17,12.3,14.3,17,12.3,14.3,9.5,73.4,3.852,100,54.17,rain,0,0,85.7,52.3,207.6,1011,94.6,26.5,95,8.2,3,,2019-06-08T05:20:01,2019-06-08T21:59:14,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E6566,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-09,18.6,10.9,15.1,18.6,10.9,15.1,10.1,73.1,0,0,0,,0,0,60.9,21.4,214.7,1021.5,89.9,26.3,240,19.9,9,,2019-06-09T05:19:32,2019-06-09T22:00:03,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2019-06-10,20.9,14,17.2,20.9,14,17.2,12.9,76.8,1.392,100,33.33,rain,0,0,46.1,27.9,40.9,1013.5,92.1,31.7,181.1,15.1,8,,2019-06-10T05:19:07,2019-06-10T22:00:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
