name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2020-06-01,22.9,13,18.1,22.9,13,18.1,8.8,56.2,0,0,0,,0,0,33.6,18,55.1,1022.7,91.7,41.6,366.7,31.9,8,,2020-06-01T05:24:08,2020-06-01T21:53:08,0.34,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-02,25.1,13.1,19.1,25.1,13.1,19.1,11.5,63.7,0,0,0,,0,0,26.8,19.1,324.4,1017,82.6,37.4,488.2,42,8,,2020-06-02T05:23:21,2020-06-02T21:54:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-03,20.3,12.5,16.4,20.3,12.5,16.4,12,76.5,0,0,0,,0,0,32.8,23.9,303.2,1006,93.8,22.9,359.1,31.4,8,,2020-06-03T05:22:36,2020-06-03T21:55:15,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,F5767,D0247,06269099999,06257099999"
Amsterdam,2020-06-04,15.3,10,13,15.3,10,13,9.7,80.2,1.94,100,33.33,rain,0,0,43.2,27.7,326.4,998.7,95.1,26.4,122.5,10.6,5,,2020-06-04T05:21:55,2020-06-04T21:56:16,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Amsterdam,2020-06-05,13.3,8,10.4,13.3,6.1,9.6,6.6,77.3,8.584,100,62.5,rain,0,0,53.6,33.5,249.6,993.8,84.8,36.4,112.9,9.6,6,,2020-06-05T05:21:16,2020-06-05T21:57:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,F5767,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-06,14.2,8.7,11.3,14.2,6.2,10.5,5.5,68.9,4.182,100,62.5,rain,0,0,59.6,42.4,222.6,997.1,68,30.1,215.7,18.5,8,,2020-06-06T05:20:41,2020-06-06T21:58:09,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-07,14.7,10.2,12.3,14.7,10.2,12.3,9,80.8,13.118,100,62.5,rain,0,0,43.2,27.5,249.2,1004.8,93,26,173.4,14.8,9,,2020-06-07T05:20:09,2020-06-07T21:59:02,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-08,16.4,10.5,13.7,16.4,10.5,13.7,10,79,0.579,100,25,rain,0,0,34.4,23.5,329.3,1014,90.2,28.9,266.2,23.1,8,,2020-06-08T05:19:39,2020-06-08T21:59:52,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-09,16.1,10,12.7,16.1,10,12.7,6.6,66.6,0.009,100,4.17,rain,0,0,34.4,17.2,7.2,1019.3,83.9,28.9,235.7,20.5,9,,2020-06-09T05:19:13,2020-06-09T22:00:40,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
Amsterdam,2020-06-10,17.4,7.1,13.4,17.4,5.9,13.3,8.6,73.6,0.037,100,8.33,rain,0,0,25.2,16,58.5,1016.7,66.8,29.5,215.5,18.5,7,,2020-06-10T05:18:50,2020-06-10T22:01:25,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
