name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2018-06-01,20.9,14,16.6,20.9,14,16.6,15.3,92.3,1.554,100,33.33,rain,0,0,30.5,20.2,285.6,1015.9,62.1,5.8,174,15.1,8,,2018-06-01T05:24:33,2018-06-01T21:52:32,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-02,18,14.1,15.9,18,14.1,15.9,14.9,93.9,2.249,100,29.17,rain,0,0,29.9,20.8,244.4,1017.6,95,4.6,76.8,6.6,3,,2018-06-02T05:23:44,2018-06-02T21:53:38,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-03,22.1,15.1,18.2,22.1,15.1,18.2,15.3,83.6,0,0,0,,0,0,22.8,15.9,271.4,1018.1,57.3,9,238.6,20.7,8,,2018-06-03T05:22:58,2018-06-03T21:54:42,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-04,20.8,14.9,17.3,20.8,14.9,17.3,14.7,85.3,0,0,0,,0,0,26.4,19.2,12,1015,77.2,10,177.4,15.3,9,,2018-06-04T05:22:15,2018-06-04T21:55:43,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-05,19.2,13.7,16.2,19.2,13.7,16.2,12,76.6,0,0,0,,0,0,26.5,22.1,2.3,1014.6,59.1,12.4,166.9,14.3,7,,2018-06-05T05:21:35,2018-06-05T21:56:42,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-06,24.9,11.2,18.4,24.9,11.2,18.4,14,77.1,0,0,0,,0,0,27.6,17.4,31.5,1013.8,14.4,11,303.1,26.4,9,,2018-06-06T05:20:58,2018-06-06T21:57:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-07,26.6,13.6,20.8,26.6,13.6,20.8,15.5,74.2,0,0,0,,0,0,26.3,16.4,340.6,1014,36.2,12,291.1,25.2,8,,2018-06-07T05:20:24,2018-06-07T21:58:33,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-08,20.5,15.5,17.6,20.5,15.5,17.6,16,90.6,1.106,100,41.67,rain,0,0,25.5,13.8,352.5,1014.8,50.6,6.8,42.4,3.6,2,,2018-06-08T05:19:53,2018-06-08T21:59:25,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-09,22.2,16.7,18.9,22.2,16.7,18.9,15.5,81.3,0.026,100,4.17,rain,0,0,30.3,17.8,13.5,1014,51,11.7,201.3,17.5,8,,2018-06-09T05:19:26,2018-06-09T22:00:14,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2018-06-10,21,14.4,17.8,21,14.4,17.8,14.1,79.3,0,0,0,,0,0,31.2,18.8,5.3,1013.3,49.3,13.1,226.5,19.3,8,,2018-06-10T05:19:01,2018-06-10T22:01:00,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
