name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2022-06-01,15.2,9.5,12.4,15.2,7.6,12.1,8.6,78.1,3.83,100,33.33,rain,0,0,38.5,24.9,264.6,1015,64.1,34.2,160.8,13.8,6,,2022-06-01T05:24:33,2022-06-01T21:52:37,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-02,17.6,6.7,13.1,17.6,6.7,13,7.9,72.5,0.049,100,4.17,rain,0,0,28.1,17.1,17,1021.2,48.9,29.9,233.9,14.3,10,,2022-06-02T05:23:44,2022-06-02T21:53:44,0.1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-03,22.1,10.9,16.6,22.1,10.9,16.6,9.1,63.2,0,0,0,,0,0,39.4,25.8,56.2,1019.2,46,38.4,275.7,23.7,8,,2022-06-03T05:22:58,2022-06-03T21:54:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-04,19.7,11.6,15.4,19.7,11.6,15.4,10.4,72.5,0,0,0,,0,0,45.5,28.1,43.9,1020.9,73.2,33.8,197.9,17,9,,2022-06-04T05:22:15,2022-06-04T21:55:49,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-05,19.9,12.2,15.8,19.9,12.2,15.8,13.1,84.5,17.283,100,37.5,rain,0,0,40,29.2,37.9,1014.7,91.6,17.5,89,7.7,6,,2022-06-05T05:21:35,2022-06-05T21:56:48,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-06,16.3,12.5,14.1,16.3,12.5,14.1,11.7,86.1,10.779,100,58.33,rain,0,0,55.6,36.8,245.2,1012.6,94,18.7,74.9,6.3,3,,2022-06-06T05:20:58,2022-06-06T21:57:45,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-07,17.6,12.6,14.7,17.6,12.6,14.7,10.4,76,0,0,0,,0,0,37.9,28.3,259.8,1012,80.9,25.7,216,18.5,9,,2022-06-07T05:20:24,2022-06-07T21:58:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-08,18.4,12.2,15.6,18.4,12.2,15.6,13.3,86.5,3.812,100,37.5,rain,0,0,37.3,23.3,199.6,1006.8,97.1,17.4,79.6,6.9,3,,2022-06-08T05:19:54,2022-06-08T21:59:30,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-09,18.9,12.9,16.2,18.9,12.9,16.2,11.2,73.4,0.073,100,4.17,rain,0,0,35.7,24,263.3,1013.4,35.2,28.7,267.1,23,10,,2022-06-09T05:19:26,2022-06-09T22:00:19,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Amsterdam,2022-06-10,21,13.2,17.3,21,13.2,17.3,12.9,75.9,0.009,100,4.17,rain,0,0,46.6,30.5,217.2,1019.9,68.9,28.8,234,20.2,10,,2022-06-10T05:19:02,2022-06-10T22:01:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
