Location,X_Cor,Y_Cor,URL
Gaasperplas,52.3069241,4.9864444,"https://www.google.com/maps/place/Gaasperplas/@52.3069241,4.9864444,16z/data=!4m12!1m2!2m1!1sGaasperplas!3m8!1s0x47c60c5dbd560937:0xd8ce181a2c1f975b!8m2!3d52.3058653!4d4.994065!9m1!1b1!15sCgtHYWFzcGVycGxhc1oNIgtnYWFzcGVycGxhc5IBBGxha2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhYelpwWkVGbkVBReABAA!16s%2Fg%2F11bc656tmn?entry=ttu"
Strand Blijburg,52.3552096,5.0095073,"https://www.google.com/maps/place/Strand+Blijburg/@52.3552096,5.0095073,16z/data=!4m18!1m9!3m8!1s0x47c60f0d4613e195:0x716d2a2fbc060b5a!2sStrandlokaal+IJburg!8m2!3d52.3584025!4d5.0150898!9m1!1b1!16s%2Fg%2F11rsrjhsy5!3m7!1s0x47c60e85989c831b:0xd51e5ad8a08f2a01!8m2!3d52.3545945!4d5.020219!9m1!1b1!16s%2Fg%2F1218ryl4?entry=ttu"
